0,1,49,63,n
0,1,91,138,p
0,1,151,151,p
0,1,152,152,n
0,1,153,153,r
0,2,49,63,n
0,2,91,91,p
0,2,92,138,n
0,2,153,153,n
0,3,49,63,n
0,3,91,91,p
0,3,92,93,b
0,3,94,108,c
0,3,109,138,n
0,3,153,153,p
0,4,49,63,n
0,4,91,91,p
0,4,92,93,b
0,4,94,110,c
0,4,111,115,b
0,4,116,132,c
0,4,133,135,b
0,4,136,138,c
0,5,49,63,n
0,5,91,91,p
0,5,92,93,b
0,5,94,108,c
0,5,116,138,c
0,6,49,63,n
0,6,91,91,p
0,6,92,93,n
0,6,94,138,c
0,7,49,63,n
0,7,91,91,p
0,7,92,93,n
0,7,94,138,c
0,8,49,63,n
0,8,91,91,p
0,8,92,93,n
0,8,94,138,c
0,9,1,91,p
0,9,92,93,n
0,9,94,138,c
0,10,1,1,p
0,10,2,32,r
0,10,33,48,n
0,10,49,63,c
0,10,64,88,r
0,10,89,93,n
0,10,94,138,c
0,11,1,1,p
0,11,2,32,r
0,11,33,48,n
0,11,49,63,c
0,11,64,91,r
0,11,92,93,n
0,11,94,138,c
0,12,1,1,p
0,12,2,6,n
0,12,7,7,c
0,12,8,24,n
0,12,25,28,b
0,12,29,29,n
0,12,30,32,r
0,12,33,42,c
0,12,43,48,n
0,12,49,53,c
0,12,54,73,n
0,12,74,77,b
0,12,78,78,n
0,12,79,79,r
0,12,80,83,b
0,12,84,86,n
0,12,87,93,r
0,12,94,138,c
0,13,1,1,p
0,13,2,6,n
0,13,7,7,c
0,13,8,16,n
0,13,17,28,b
0,13,29,29,n
0,13,30,32,r
0,13,33,42,c
0,13,43,48,n
0,13,49,52,c
0,13,53,63,n
0,13,64,67,b
0,13,68,70,n
0,13,71,84,b
0,13,85,89,n
0,13,90,93,r
0,13,94,138,c
0,14,1,1,p
0,14,2,15,c
0,14,16,16,n
0,14,17,28,b
0,14,29,29,n
0,14,30,32,r
0,14,33,42,c
0,14,43,48,n
0,14,49,50,b
0,14,51,60,n
0,14,61,67,b
0,14,68,70,n
0,14,71,84,b
0,14,85,91,n
0,14,92,95,r
0,14,96,106,n
0,14,107,123,r
0,14,124,138,c
0,15,1,1,p
0,15,2,15,c
0,15,16,16,n
0,15,17,28,b
0,15,29,29,n
0,15,30,32,r
0,15,33,40,c
0,15,41,48,b
0,15,49,60,n
0,15,61,92,b
0,15,93,93,n
0,15,94,98,r
0,15,99,106,n
0,15,107,123,r
0,15,124,138,c
0,16,1,1,p
0,16,2,11,c
0,16,12,13,n
0,16,14,15,c
0,16,16,16,n
0,16,17,28,b
0,16,29,29,n
0,16,30,32,r
0,16,33,40,c
0,16,41,52,b
0,16,53,60,n
0,16,61,92,b
0,16,93,93,n
0,16,94,138,r
0,17,1,1,p
0,17,2,11,c
0,17,12,13,n
0,17,14,15,c
0,17,16,16,n
0,17,17,28,b
0,17,29,29,n
0,17,30,32,r
0,17,33,40,c
0,17,41,55,b
0,17,56,60,n
0,17,61,92,b
0,17,93,93,n
0,17,94,108,r
0,17,109,123,n
0,17,124,138,r
0,17,139,144,n
0,17,145,148,b
0,18,1,1,p
0,18,2,15,c
0,18,16,16,n
0,18,17,28,b
0,18,29,29,n
0,18,30,32,r
0,18,33,40,c
0,18,41,55,b
0,18,56,60,n
0,18,61,92,b
0,18,93,93,n
0,18,94,94,r
0,18,95,99,n
0,18,100,102,r
0,18,103,106,c
0,18,107,125,n
0,18,126,130,b
0,18,131,143,n
0,18,144,148,b
0,19,1,1,p
0,19,2,15,c
0,19,16,16,n
0,19,17,28,b
0,19,29,29,n
0,19,30,32,r
0,19,33,40,c
0,19,41,55,b
0,19,56,60,n
0,19,61,92,b
0,19,93,93,n
0,19,94,94,r
0,19,95,97,b
0,19,98,98,n
0,19,99,102,r
0,19,103,105,c
0,19,106,125,n
0,19,126,130,b
0,19,131,143,n
0,19,144,148,b
0,20,1,1,p
0,20,2,15,c
0,20,16,16,n
0,20,17,28,b
0,20,29,29,n
0,20,30,32,r
0,20,33,40,c
0,20,41,55,b
0,20,56,60,n
0,20,61,91,b
0,20,92,93,n
0,20,94,94,r
0,20,95,97,b
0,20,98,98,n
0,20,99,102,r
0,20,103,108,n
0,20,110,115,b
0,20,116,122,n
0,20,123,123,b
0,20,124,125,n
0,20,126,130,b
0,20,131,142,n
0,20,143,149,b
0,21,1,1,p
0,21,2,15,c
0,21,16,16,n
0,21,17,25,b
0,21,26,29,n
0,21,30,32,r
0,21,33,40,c
0,21,41,55,b
0,21,56,60,n
0,21,61,91,b
0,21,92,93,n
0,21,94,94,r
0,21,95,97,b
0,21,98,98,n
0,21,99,102,r
0,21,103,108,b
0,21,110,123,b
0,21,124,125,n
0,21,126,130,b
0,21,131,141,n
0,21,142,149,b
0,21,150,153,n
0,22,1,1,p
0,22,2,15,c
0,22,16,16,n
0,22,17,26,b
0,22,27,29,n
0,22,30,32,r
0,22,33,40,c
0,22,41,55,b
0,22,56,60,n
0,22,61,91,b
0,22,92,98,n
0,22,99,101,r
0,22,102,102,c
0,22,103,108,b
0,22,110,130,b
0,22,131,140,n
0,22,141,148,b
0,22,149,153,n
0,23,1,1,p
0,23,2,15,c
0,23,16,18,n
0,23,19,26,b
0,23,27,29,n
0,23,30,32,r
0,23,33,40,c
0,23,41,55,b
0,23,56,60,n
0,23,61,88,b
0,23,89,99,n
0,23,100,102,r
0,23,103,108,b
0,23,110,130,b
0,23,131,132,n
0,23,137,140,n
0,23,141,148,b
0,23,149,153,n
0,24,1,1,p
0,24,2,15,c
0,24,16,21,n
0,24,22,26,b
0,24,27,29,n
0,24,30,32,r
0,24,33,40,c
0,24,41,55,b
0,24,56,60,n
